SA1_CODE21,Education level,Income level,Adaptive Capability Index
1101217,967.0,1136.0,0.82025474
1101218,1035.0,1048.0,0.8124069
1101219,1015.0,951.0,0.76675165
1101220,1009.0,1060.0,0.8069583
1101221,1063.0,1094.0,0.8412736
1101222,1100.0,1120.0,0.86584127
1101223,1096.0,1051.0,0.8373503
1101224,1149.0,1147.0,0.89547575
1101225,0.0,0.0,0.0
1101226,0.0,0.0,0.0
1101227,1159.0,1230.0,0.9317695
1101228,1056.0,1055.0,0.82332313
1101229,939.0,959.0,0.74025613
1101230,858.0,864.0,0.67160904
1101231,1092.0,1124.0,0.8642849
1101232,1110.0,1183.0,0.89432853
1101301,875.0,901.0,0.69267607
1101302,895.0,940.0,0.71569276
1101303,875.0,953.0,0.71297264
1101304,913.0,965.0,0.73246557
1101305,1060.0,1064.0,0.8283949
1101306,1086.0,1081.0,0.84516275
1101307,999.0,1009.0,0.78315485
1101308,943.0,1009.0,0.76133096
1101401,961.0,931.0,0.73790085
1101402,935.0,909.0,0.7191813
1101403,928.0,909.0,0.7164533
1101404,880.0,878.0,0.68564725
1101405,924.0,901.0,0.7117719
1101406,934.0,984.0,0.7480656
1101407,994.0,1035.0,0.79135466
1101408,954.0,1004.0,0.7636662
1101409,970.0,1022.0,0.77692735
1101410,956.0,885.0,0.71799755
1101411,979.0,915.0,0.7386705
1101412,949.0,980.0,0.75235
1101413,879.0,859.0,0.6778414
1101414,1027.0,1020.0,0.7983603
1101415,985.0,943.0,0.75193775
1101417,947.0,943.0,0.73712873
1101418,980.0,1095.0,0.8093178
1101419,971.0,987.0,0.7636559
1101501,0.0,0.0,0.0
1101502,0.0,0.0,0.0
1101503,899.0,925.0,0.7113968
1101505,1092.0,1072.0,0.8439882
1101511,886.0,927.0,0.7071112
1101512,1100.0,1032.0,0.8314931
1101514,985.0,1087.0,0.80814385
1101515,994.0,1044.0,0.7948675
1101516,1042.0,1100.0,0.8354316
1101517,1021.0,1070.0,0.81553805
1101518,1026.0,1088.0,0.82451236
1101519,1005.0,1080.0,0.81320584
1101520,1075.0,1098.0,0.8475114
1101521,1014.0,1071.0,0.81320035
1101522,1010.0,1075.0,0.8132028
1101523,1047.0,1121.0,0.8455769
1101524,1072.0,1059.0,0.8311198
1101601,0.0,0.0,0.0
1101602,954.0,929.0,0.73439217
1101603,1044.0,1037.0,0.81162083
1101604,1025.0,1058.0,0.81241304
1101605,1122.0,1035.0,0.84123766
1101606,1059.0,1088.0,0.8373728
1101607,1003.0,1000.0,0.78120077
1101608,1051.0,1085.0,0.83308417
1101609,1013.0,1069.0,0.81203
1101610,1021.0,1065.0,0.8135864
1101611,1099.0,978.0,0.81002605
1101612,0.0,0.0,0.0
1101613,1028.0,1097.0,0.8288046
1101614,987.0,964.0,0.7609139
1101615,1027.0,1049.0,0.80967957
1101616,955.0,924.0,0.7328303
1101617,1007.0,964.0,0.7687081
1101618,1067.0,1074.0,0.835026
1101619,925.0,1016.0,0.75704837
1101620,1039.0,921.0,0.7643951
