SA1_CODE21,mean
1100701,0.056737589
1100702,0.059090909
1100703,0.158878505
1100704,0.149779736
1100705,0.102564103
1100706,0.141732283
1100707,0.067264574
1100708,0.090252708
1100709,0.097560976
1100710,0.047318612
1100801,0.174863388
1100802,0.111510791
1100803,0.124137931
1100804,0.188311688
1100805,0.459016393
1100806,0.158536585
1100807,0.13368984
1100808,0.151219512
1100809,0
1100810,0.116666667
1100811,0.171597633
1100812,0.192592593
1100813,0.123222749
1100814,0.089068826
1100815,0.173515982
1100816,0.251655629
1100817,0.142857143
1100818,0.09009009
1100819,0.163043478
1100820,0.132743363
1100821,0.089005236
1100822,0.110091743
1100823,0.156626506
1100901,0.234782609
1100902,0.147651007
1100904,0.16
1100905,0.159340659
1100907,0.150406504
1100908,0.093548387
1100909,0.11747851
1100910,0.125412541
1100911,0.129032258
1100912,0.12244898
1100913,0.120567376
1100914,0.166666667
1100915,0.134210526
1100916,0.205240175
1100917,0.076923077
1100918,0.125448029
1100919,0.125
1100920,0.135
1100921,0.105882353
1100923,0.203389831
1100924,0
1100925,0.092664093
1100926,0.151724138
1100927,0.282442748
1100928,0.142045455
1100929,0.108695652
1101001,0.144927536
1101002,0.041860465
1101003,0.017647059
1101004,0.204081633
1101006,0.128205128
1101007,0.191780822
1101008,0.184549356
1101009,0.201117318
1101010,0.219251337
1101011,0
1101012,0.195121951
1101013,0
1101014,0.03125
1101015,0.138728324
1101016,0.231155779
1101017,0.134715026
1101101,0.180232558
1101102,0.042857143
1101103,0.124324324
1101104,0.042372881
1101105,0.067669173
1101106,0.072115385
1101107,0.119565217
1101108,0.202898551
1101109,0.087628866
1101110,0.028037383
1101111,0.081395349
1101112,0.096491228
1101113,0
1101115,0.106382979
1101116,0.088082902
1101117,0.079754601
1101118,0.142857143
1101119,0.065934066
1101120,0.077738516
1101122,0.064935065
1101123,0.053763441
1101125,0.118644068
1101126,0.091269841
1101127,0.093264249
1101128,0.05
1101129,0.064220183
1101130,0.08839779
1101131,0.061538462
1101132,0.065789474
1101133,0.072916667
1101134,0.060402685
1101135,0.083743842
1101136,0.048913043
